data_publicada,titulo_publicado,url,nome_arquivo,responsavel,passagem_1,passagem_2,passagem_3,passagem_4,passagem_5,qtde_tokens_pass_1,qtde_tokens_pass_2,qtde_tokens_pass_3,qtde_tokens_pass_4,qtde_tokens_pass_5,qtde_total_tokens
2023-08-01,136-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/BE/54/7B/1A/1B1B98109EBF7498DC0D8AA8/OC 136-2023 PRE Realocação de Limites entre Mercados - MRVE3 (PT).pdf,2023-08-01|136-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-01,137-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/B1/D0/95/FA/3F1B98109EBF7498DC0D8AA8/OC 137-2023-PRE Política de Tarifação do Tesouro Direto_Educa_ (PT).pdf,2023-08-01|137-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-01,138-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/D9/F1/4F/DD/8F1B98109EBF7498DC0D8AA8/OC 138-2023 PRE Tesouro Direto - Novo Título Público Educação (PT).pdf,2023-08-01|138-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-27,132-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/09/D1/83/9B/BE7998109EBF7498DC0D8AA8/OC 132-2023 PRE Lançamento Serviço de Conectividade - Market Data Binário (PT).pdf,2023-07-27|132-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-25,038-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/B3/02/50/CE/32E898101DBF7498AC094EA8/CE 038-2023-VPC Resilição e Liberação de Excedente - RCC.pdf,2023-07-25|038-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-07-25,071-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/76/46/2A/20/53E898101DBF7498AC094EA8/CE 071-2023-VNC Processamento_CâmaraB3_Câmbio_PT.pdf,2023-07-25|071-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-07-25,072-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/E9/56/AA/83/83E898101DBF7498AC094EA8/CE 072-2023-VNC Teste PCO PUMA_24082023_PT.pdf,2023-07-25|072-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-07-25,131-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/CB/D1/68/10/61E898109EBF7498DC0D8AA8/OC 131-2023 PRE Retificação - Alteração Planej Implementação Market Data Binário (Binary UMDF)(PT).pdf,2023-07-25|131-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-25,129-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/72/E6/D9/25/77D898109EBF7498DC0D8AA8/OC 129-2023 PRE Tratamento das carteiras de índices B3 - OPA da Alliança Saúde e Particip S.A. (PT).pdf,2023-07-25|129-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-25,130-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/1D/31/22/A8/11E898109EBF7498DC0D8AA8/OC 130-2023 PRE Realocação de Limites Entre Mercados - SEQL3 (PT).pdf,2023-07-25|130-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-20,009-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/BE/93/26/79/8E4798101DBF7498AC094EA8/OC 009-2023-VNC Alteração do Cronograma de Implementação do Market Data Binário (Binary UMDF)_PT.pdf,2023-07-20|009-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-20,003-2023-VPE-Ofício Circular,https://www.b3.com.br/data/files/AD/55/3F/2B/4C4798101DBF7498AC094EA8/OC 003-2023-VPE Portabilidade de Investimentos  Valores Mobiliários de mesma titularidade_PT.pdf,2023-07-20|003-2023-VPE-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-20,008-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/3D/31/E0/2F/5D4798101DBF7498AC094EA8/OC 008-2023-VNC Boa Vista_PT.pdf,2023-07-20|008-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-20,010-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/4D/93/7D/AA/8A4798101DBF7498AC094EA8/OC 010-2023-VPC Atualização do Roteiro do Programa de Qualificação Operacional_REVISADO.pdf,2023-07-20|010-2023-VPC-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-20,011-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/A2/F2/B1/F9/205798101DBF7498AC094EA8/OC 011-2023-VPC Alterações apreçamento do DAP vf revMC3_REVISADO.pdf,2023-07-20|011-2023-VPC-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-18,007-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/18/57/98/6A/33A698101DBF7498AC094EA8/OC 007-2023-VNC Alteração MARISCO_20230718_PT.pdf,2023-07-18|007-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-18,006-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/77/F4/B1/22/A2A698101DBF7498AC094EA8/OC 006-2023-VNC Repasse intermediação_PT.pdf,2023-07-18|006-2023-VNC-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-18,001-2023-VPE-Ofício Circular,https://www.b3.com.br/data/files/C0/D0/1D/04/DCA698101DBF7498AC094EA8/OC 001-2023-VPE Gravame sobre Valores Mobiliários Registrados_PT.pdf,2023-07-18|001-2023-VPE-Ofício Circular.pdf,,,,,,,,,,,,
2023-07-18,012-2023-VPE-Comunicado Externo,https://www.b3.com.br/data/files/60/62/10/C7/52A698101DBF7498AC094EA8/CE 012-2023-VPE Contingência programada LDL0005 - Balcão B3_PT.pdf,2023-07-18|012-2023-VPE-Comunicado Externo.pdf,,,,,,,,,,,,
2023-07-17,007-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/A0/B4/42/02/BB5698101DBF7498AC094EA8/OC 007-2023-VPC Ofício Circular - Tarifação Trademate - Balcão B3.pdf,2023-07-17|007-2023-VPC-Ofício Circular.pdf,,,,,,,,,,,,
